id;pembuat;pasir;batu;air
1;Hutapea;2;1;5
2;Hasibuan;4;2;1
3;Aritonang;1;5;3
4;Hutapea;3;2;4
5;Hasibuan;2;4;1
6;Hutapea;1;3;5
7;Aruan;3;1;4
8;Hutapea;5;1;2
9;Aritonang;2;5;1
10;Aruan;4;3;1
11;Hutabarat;5;2;4
12;Aruan;1;5;2
13;Hutabarat;2;4;5
14;Hasibuan;4;1;3
15;Hutabarat;1;3;5
16;Aritonang;3;5;2
17;Aruan;5;1;4
18;Hutabarat;4;2;1
19;Aritonang;2;4;3
20;Hasibuan;3;1;5
21;Hutapea;5;3;1
22;Aruan;1;4;3
23;Hutabarat;3;2;4
24;Aritonang;4;1;5
25;Hutabarat;2;5;1
26;Aruan;3;5;2
27;Hutapea;1;2;4
28;Hasibuan;5;3;1
29;Hutabarat;4;1;3
30;Aritonang;2;3;5
31;Hutapea;3;5;2
32;Hasibuan;1;2;4
33;Hutapea;5;1;3
34;Aruan;4;2;5
35;Hutabarat;3;4;2
36;Aritonang;1;5;4
37;Hutapea;4;3;1
38;Hasibuan;2;1;5
39;Hutabarat;5;3;2
40;Aruan;1;5;3
41;Hutabarat;3;2;5
42;Hasibuan;5;1;3
43;Aruan;2;3;5
44;Hutapea;4;5;1
45;Aritonang;5;1;4
46;Hutapea;2;4;3
47;Hasibuan;4;5;2
48;Hutabarat;1;4;5
49;Aritonang;3;2;4
51;Aritonang;1;5;4
52;Aruan;1;5;3
53;Hasibuan;1;5;1
54;Hutabarat;5;3;1
55;Hutapea;5;3;1
56;Aritonang;5;3;1
57;Aruan;5;3;1
58;Hasibuan;5;2;3
59;Hutabarat;1;5;3
60;Hutapea;1;5;3
61;Aritonang;3;4;2
62;Aruan;5;3;1
63;Hasibuan;5;3;1
64;Hutabarat;4;5;2
65;Hutapea;3;1;4
66;Aritonang;1;5;3
67;Aruan;1;5;3
68;Hasibuan;1;5;3
69;Hutabarat;1;5;3
70;Hutapea;3;1;2
71;Aritonang;3;1;5
72;Aruan;2;3;1
73;Hasibuan;2;5;3
74;Hutabarat;3;1;5
75;Hutapea;3;1;5
76;Aritonang;4;1;5
77;Aruan;3;1;5
78;Hasibuan;3;1;5
79;Hutabarat;3;4;2
80;Hutapea;3;1;4
81;Aritonang;4;5;3
82;Aruan;1;5;3
83;Hasibuan;1;5;3
84;Hutabarat;1;5;3
85;Hutapea;1;4;2
86;Aritonang;3;1;5
87;Aruan;3;4;2
88;Hasibuan;5;3;1
89;Hutabarat;2;5;3
90;Hutapea;4;2;5
91;Aritonang;2;3;1
92;Aruan;5;3;1
93;Hasibuan;1;5;3
94;Hutabarat;4;5;3
95;Hutapea;1;5;2
96;Aritonang;5;3;4
97;Aruan;2;3;1
98;Hasibuan;5;3;1
99;Hutabarat;1;5;3
50;Aritonang;3;1;2
